trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.95, 'e': 0.048494525249423104}",20,14,13.348848603297602,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.95, 'e': 0.046069798986951946}",20,6,21.001482191762882,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.95, 'e': 0.043766309037604346}",25,0,37.66169835835223,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.95, 'e': 0.04157799358572413}",20,0,36.82512758015122,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.95, 'e': 0.03949909390643792}",30,12,11.830584874962357,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.95, 'e': 0.03752413921111602}",25,3,36.39680170141773,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.95, 'e': 0.03564793225056022}",20,11,12.855925224185215,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.95, 'e': 0.033865535638032206}",20,4,27.792842673393256,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.95, 'e': 0.03217225885613059}",20,10,17.568526221241726,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.95, 'e': 0.030563645913324063}",20,6,24.178566507686387,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.95, 'e': 0.02903546361765786}",20,0,30.675500547381112,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.95, 'e': 0.027583690436774964}",25,13,-13.158881507381407,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.95, 'e': 0.026204505914936217}",20,6,19.49761731373904,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.95, 'e': 0.024894280619189402}",20,16,9.525987435904296,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.95, 'e': 0.023649566588229934}",25,10,13.83158338382978,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.95, 'e': 0.022467088258818435}",20,11,18.14180372152362,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.95, 'e': 0.02134373384587751}",25,19,12.263054226743964,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.95, 'e': 0.020276547153583634}",20,9,19.59238576936926,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.95, 'e': 0.01926271979590445}",20,0,-8.808990740945994,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.95, 'e': 0.01829958380610923}",30,12,7.378445596050109,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.95, 'e': 0.017384604615803767}",20,16,6.77872974295419,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.95, 'e': 0.01651537438501358}",20,12,15.878900297862225,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.95, 'e': 0.0156896056657629}",25,16,15.818879535457304,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.95, 'e': 0.014905125382474753}",20,5,23.590723557383182,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.95, 'e': 0.014159869113351015}",25,0,35.614537575136296,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.95, 'e': 0.013451875657683464}",25,0,41.36078854898374,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.95, 'e': 0.012779281874799289}",30,1,25.383453006956774,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.95, 'e': 0.012140317781059324}",20,11,19.3338903007498,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.95, 'e': 0.011533301892006357}",20,9,18.64701157589171,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.95, 'e': 0.01095663679740604}",30,12,30.672443028410516,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.95, 'e': 0.010408804957535737}",25,0,16.754316604466155,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
89,False,"{'a': 0.95, 'e': 0.00988836470965895}",25,13,22.584821602827244,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.95, 'e': 0.009393946474176}",25,9,29.29517130464265,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.95, 'e': 0.008924249150467202}",20,6,22.647717900622396,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.95, 'e': 0.00847803669294384}",20,16,9.602049715001819,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.95, 'e': 0.008054134858296648}",20,16,8.675619484655728,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.95, 'e': 0.007651428115381815}",20,12,12.224465477682731,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.95, 'e': 0.007268856709612724}",30,12,34.04182562596307,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.95, 'e': 0.006905413874132088}",35,23,24.417155190964056,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.95, 'e': 0.006560143180425483}",25,16,12.861301618902285,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.95, 'e': 0.006232136021404208}",30,8,41.67145461695771,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.95, 'e': 0.0059205292203339975}",30,17,25.354286626441695,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.95, 'e': 0.005624502759317297}",20,0,33.29829425990081,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.95, 'e': 0.0053432776213514326}",25,10,30.41699468731968,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.95, 'e': 0.00507611374028386}",20,8,22.511346841355014,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.95, 'e': 0.004822308053269667}",20,13,11.953739953087831,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.95, 'e': 0.004581192650606184}",20,12,16.459668497144165,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.95, 'e': 0.004352133018075874}",30,20,18.021721456359362,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.95, 'e': 0.00413452636717208}",25,11,27.887675677349275,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.95, 'e': 0.003927800048813476}",20,0,31.66723359073273,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.95, 'e': 0.0037314100463728024}",20,0,32.10789385639811,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.95, 'e': 0.003544839544054162}",25,14,19.792016621355486,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.95, 'e': 0.0033675975668514537}",20,15,11.230657679830816,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.95, 'e': 0.003199217688508881}",20,3,5.854692548222314,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.95, 'e': 0.0030392568040834367}",20,8,21.062646285658552,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.95, 'e': 0.0028872939638792646}",20,1,26.889494298921825,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.95, 'e': 0.0027429292656853013}",20,13,14.37164587999741,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.95, 'e': 0.0026057828024010363}",20,8,19.26628548311208,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.95, 'e': 0.0024754936622809844}",25,16,17.35604041127378,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.95, 'e': 0.002351718979166935}",20,0,29.808979938783917,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.95, 'e': 0.002234133030208588}",25,9,20.569341239583245,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.95, 'e': 0.0021224263786981585}",20,0,-14.243676991063747,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
120,False,"{'a': 0.95, 'e': 0.0020163050597632507}",20,0,28.229159529977704,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.95, 'e': 0.001915489806775088}",25,10,24.762931619595562,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.95, 'e': 0.0018197153164363335}",25,11,29.45275448910419,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.95, 'e': 0.0017287295506145167}",20,8,23.19144365093063,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.95, 'e': 0.0016422930730837907}",30,20,17.08839531549226,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.95, 'e': 0.0015601784194296012}",20,9,22.314221086217245,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.95, 'e': 0.0014821694984581211}",20,9,18.939404237272914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.95, 'e': 0.001408061023535215}",30,10,34.427350991713425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.95, 'e': 0.001337657972358454}",25,0,38.22529907145195,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.95, 'e': 0.0012707750737405313}",30,17,24.491776541558913,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.95, 'e': 0.0012072363200535047}",25,8,29.75538247821501,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.95, 'e': 0.0011468745040508295}",20,10,19.425905490129253,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.95, 'e': 0.001089530778848288}",35,0,54.55908541021338,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.95, 'e': 0.0010350542399058735}",25,13,25.73660555423646,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.95, 'e': 0.0009833015279105798}",35,17,-9.131405864208494,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.95, 'e': 0.0009341364515150507}",25,2,38.20683958965057,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.95, 'e': 0.0008874296289392981}",25,15,16.35828124861397,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.95, 'e': 0.0008430581474923332}",20,8,20.857049290886824,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.95, 'e': 0.0008009052401177165}",25,0,38.83456709365102,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.95, 'e': 0.0007608599781118307}",30,20,20.388984139660796,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.95, 'e': 0.0007228169792062391}",30,0,40.70402988614778,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
